consider,property_name,location,price_lower_range,price_upper_range,x_BHK,total_no_of_units,developer,developers_years_of_experience,distance_from_nearest_metro,time_to_office_in_shuttle,time_to_office_in_metro,is_villa,is_within_project
,New Royal Enclave,Action Area 3,65,65,3,100,,,,,,Y,
,Urban Greens Phase II,Dash Drone,58,79,2,341,Loharuka Group,,,,,,
,Adi Guru Residency,Eco Park,52,60,2,44,,,,,,,
,Gurukul Umang,Eco Park,44,58,2,28,,,,,,,
,Rajokiya,Kalikapur,25,33,2,120,,,,,,,
,Rajokiya,Kalikapur,35,50,3,120,Realtech Nirman Pvt Ltd,,,,,,
,Shantineer Bungalow,Hatishala,38,47,3,,Dimitra Realtors,,,,,Y,
,Magnolia Skyview,Kalikapur,40,54,2,330,Magnolia Infrastructure Development Ltd,,,,,,
,Sunshine Green City,Vedic Village,30,32,2,160,Nitu Developers,,,,,,
,Sunshine Green City,Vedic Village,40,40,3,160,Nitu Developers,,,,,,
,Natural Aqua Waves East,Axis Mall,68,70,2,248,Natural Group,,,,,,
,Vinayak Rajmahal,Chinar Park,27,32,2,104,Vinayak Realtech Properties,,,,,,
,Vinayak Rajmahal,Chinar Park,36,60,3,104,,,,,,,
,Vatika,Kaikhali,29,29,1,44,,,,,,,
,Vatika,Kaikhali,45,60,2,44,,,,,,,
,Prabha Aikyam,Kestopur,45,45,2,156,Prabha Aikyam LLP,,,,,,
,Prabha Aikyam,Kestopur,57,66,2,156,Prabha Aikyam LLP,,,,,,
,Rupalekhya Ozone,Jamalpara,35,40,2,35,Rupalekhya Group of Companies,,,,,,
,Shapoorji pallonji shukhobrishti spriha,Action Area 3,28,28,1,792,Shapoorji pallonji,,,,,,
,Shapoorji pallonji shukhobrishti spriha,Action Area 3,40,40,2,792,Shapoorji pallonji,,,,,,
,Shapoorji pallonji shukhobrishti spriha,Action Area 3,59,59,3,792,Shapoorji pallonji,,,,,,
,Magnolia Sunshine,Ecopark,42,42,2,32,Magnolia Infrastructure Development Ltd,,,,,,
,Vinayak Aquasa,Belgachia,55,55,2,53,Vinayak Group,,,,,,
,Merlin Rise,Rajarhat Chowmatha + 1,50,55,2,1710,Merlin Group,,,,,,
,Dhoot Nucleus,Kestopur,58,69,2,457,Dhoot Group,,,,,,
,Siddha Happyville,Rajarhat Chowmatha,44,56,2,1359,Siddha Group,,,,,,
,Siddha Happyville,Rajarhat Chowmatha,51,66,2.5,1359,Siddha Group,,,,,,
,Solaris Shalimar,Shalimar,36,54,2,400,Eden Realty Group,,,,,,
,Solaris Shalimar,Shalimar,51,60,2.5,400,Eden Realty Group,,,,,,
,Seasonss,Joka,41,42,2,370,Realmark Realty,,,,,,
,Seasonss,Joka,52,64,3,370,Realmark Realty,,,,,,
,Urban Vista Phase 1,Rajarhat Chowmatha - 1,40,54,2,985,Loharuka Group,,,,,,
,Tirath Sunshine,Rajarhat Chowmatha - 2,53,57,2,108,Rohra Group,,,,,,
,Swapnabhumi Shantiniketan,Chariswar,65,86,3,150,Swapnabhumi Realtors,,,,,Y,
,Aztek Tilottama,Joka,20,22,1,116,,,,,,,
,Aztek Tilottama,Joka,29,36,2,116,,,,,,,
,Aztek Tilottama,Joka,39,42,3,116,,,,,,,
,Astha,Jamalpara,30,30,2,219,Skyscraper Realtech Properties LLP,,,,,,
,Astha,Jamalpara,39,51,3,219,Skyscraper Realtech Properties LLP,,,,,,
,Rohra Imperial,Kestopur,49,55,2,312,Rohra Group,,,,,,
,Rohra Imperial,Kestopur,49,64,2,312,Rohra Group,,,,,,
,Royal Aura,"Rajarhat, SRCM Road",38,39,2,72,,,,,,,
,Royal Aura,"Rajarhat, SRCM Road",38,46,3,72,,,,,,,
,DTC Capital City,Rajarhat Chowmatha + 2,51,51,2,245,DTC Group,,,,,,
,DTC Capital City,Rajarhat Chowmatha + 2,60,82,3,245,DTC Group,,,,,,
,Gardenium,Rajarhat Chowmatha + 2,38,38,2,400,Jupiter Developers,,,,,N,
,Rameswara Waterview,"Rajarhat, SRCM Road",40,43,2,312,Rameswara Group,,,,,,
,Rameswara Waterview,"Rajarhat, SRCM Road",49,62,3,312,Rameswara Group,,,,,,
,Rohra Eco,"Bishwa Bangla Gate, Kestopur Khal",41,47,2,112,Rohra Group,,,,,,
,Rohra Eco,"Bishwa Bangla Gate, Kestopur Khal",50,60,3,112,Rohra Group,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
NO,Southview Starcity,Pailan More,,,,,,,,,,,
NO,Rohra Galaxy,"Sector 5, Kestopur Khal",,,,,,,,,,,
